label,label_readable,direction,concept,concept_idx,alignment,is_core,auc
heart_failure,heart failure,positive,Stable dual lead pacemaker aicd,71874,0.4153147339820862,True,0.7936516641050608
heart_failure,heart failure,positive,Stable cardiomegaly with pacer and AICD lead,447987,0.410001277923584,True,0.7936516641050608
heart_failure,heart failure,positive,Stable dual lead aicd pacemaker and status post sternotomy changes,203554,0.4046998620033264,True,0.7936516641050608
heart_failure,heart failure,positive,"Stable cardiomegaly, post CABG, pacemaker / AICD leads",481078,0.4031015932559967,True,0.7936516641050608
heart_failure,heart failure,positive,Dual-lead AICD/permanent pacemaker,67785,0.40257033705711365,True,0.7936516641050608
heart_failure,heart failure,positive,Stable cardiomegaly with left-sided pacemaker/AICD in place,471761,0.4010620713233948,True,0.7936516641050608
heart_failure,heart failure,positive,Dual lead aicd/pacemaker,80230,0.4006936848163605,True,0.7936516641050608
heart_failure,heart failure,positive,Dual lead AICD pacemaker,218816,0.39937055110931396,True,0.7936516641050608
heart_failure,heart failure,positive,AICD/biventricular cardiac pacemaker,413486,0.39805129170417786,True,0.7936516641050608
heart_failure,heart failure,positive,Cardiomegaly with a dual lead aicd/pacemaker,302699,0.3973740041255951,True,0.7936516641050608
heart_failure,heart failure,positive,Stable dual lead aicd pacemaker in place,323757,0.39703065156936646,True,0.7936516641050608
heart_failure,heart failure,positive,Dual lead cardiac pacemaker/aicd,365467,0.39676234126091003,True,0.7936516641050608
heart_failure,heart failure,positive,Cardiomegaly with pacer and AICD lead,138940,0.39354950189590454,True,0.7936516641050608
heart_failure,heart failure,positive,Cardiac pacemaker and aicd,348998,0.3923391103744507,True,0.7936516641050608
heart_failure,heart failure,positive,Stable 2-lead AICD/pacemaker,334110,0.3919442594051361,True,0.7936516641050608
heart_failure,heart failure,positive,Stable cardiomegaly with permanent pacemaker,127746,0.3913625478744507,True,0.7936516641050608
heart_failure,heart failure,positive,Stable positioning of dual-lead cardiac pacemaker/aicd,332511,0.39027920365333557,True,0.7936516641050608
heart_failure,heart failure,positive,Biventricular cardiac pacemaker and aicd,197448,0.3892568051815033,True,0.7936516641050608
heart_failure,heart failure,positive,Stable three-lead aicd device with biventricular pacer leads,109118,0.38923516869544983,True,0.7936516641050608
heart_failure,heart failure,positive,Cardiomegaly status post pacemaker / AICD,163617,0.3888140320777893,True,0.7936516641050608
heart_failure,heart failure,positive,Stable positioning of a dual lead cardiac pacemaker/aicd,27415,0.3886849284172058,True,0.7936516641050608
heart_failure,heart failure,positive,AICD with biventricular pacer leads,74845,0.3884226679801941,True,0.7936516641050608
heart_failure,heart failure,positive,Dual lead pacemaker/aicd,37703,0.3881637752056122,True,0.7936516641050608
heart_failure,heart failure,positive,Dual lead pacer/aicd,188107,0.38790643215179443,True,0.7936516641050608
heart_failure,heart failure,positive,New dual lead pacemaker/aicd,118155,0.38751810789108276,True,0.7936516641050608
heart_failure,heart failure,positive,Redemonstrated dual lead aicd pacemaker,31313,0.38599497079849243,True,0.7936516641050608
heart_failure,heart failure,positive,Stable 3-lead aicd/pacemaker,215885,0.3859937787055969,True,0.7936516641050608
heart_failure,heart failure,positive,New dual-lead pacemaker/aicd,126109,0.3859008550643921,True,0.7936516641050608
heart_failure,heart failure,positive,Stable dual lead aicd,8877,0.38555264472961426,True,0.7936516641050608
heart_failure,heart failure,positive,Stable dual lead aicd device,172698,0.3853797912597656,True,0.7936516641050608
heart_failure,heart failure,positive,Dual lead cardiac pacemaker/aicd in place,387168,0.38387617468833923,True,0.7936516641050608
heart_failure,heart failure,positive,Stable cardiomegaly with a left sided 2-lead cardiac pacemaker,428098,0.38377419114112854,True,0.7936516641050608
heart_failure,heart failure,positive,AICD with biventricular pacing leads,273164,0.3833577036857605,True,0.7936516641050608
heart_failure,heart failure,positive,Dual lead cardiac aicd pacemaker in place,44183,0.3833053708076477,True,0.7936516641050608
heart_failure,heart failure,positive,New aicd and biventricular pacemaker,201375,0.3828389644622803,True,0.7936516641050608
heart_failure,heart failure,positive,Stable appearance of dual lead cardiac pacemaker/aicd,172213,0.3828200697898865,True,0.7936516641050608
heart_failure,heart failure,positive,Stable position biventricular pacemaker/aicd,390842,0.38175565004348755,True,0.7936516641050608
heart_failure,heart failure,positive,Biventricular cardiac pacemaker/aicd,390865,0.3816521167755127,True,0.7936516641050608
heart_failure,heart failure,positive,Permanent pacer with AICD,467151,0.3812878131866455,True,0.7936516641050608
heart_failure,heart failure,positive,Stable cardiomegaly with pacer,31054,0.3811367154121399,True,0.7936516641050608
heart_failure,heart failure,positive,Stable cardiac pacemaker with two leads,234532,0.38097846508026123,True,0.7936516641050608
heart_failure,heart failure,positive,Stable cardiomegaly status post median sternotomy and aortic valve replacement with biventricular pacemaker/aicd,89440,0.380726158618927,True,0.7936516641050608
heart_failure,heart failure,positive,Left-sided permanent pacemaker and aicd,118758,0.38070300221443176,True,0.7936516641050608
heart_failure,heart failure,positive,Stable dual lead left chest wall pacemaker,258581,0.38068297505378723,True,0.7936516641050608
heart_failure,heart failure,positive,Stable dual lead pacer device,78073,0.380437433719635,True,0.7936516641050608
heart_failure,heart failure,positive,Dual-lead cardiac pacemaker/ICD,261150,0.3802703320980072,True,0.7936516641050608
heart_failure,heart failure,positive,Stable dual-lead aicd,32546,0.3790895342826843,True,0.7936516641050608
heart_failure,heart failure,positive,Aortic valve prosthesis and dual lead aicd pacemaker,212968,0.3789230287075043,True,0.7936516641050608
heart_failure,heart failure,positive,Dual lead AICD/permanent pacemaker is seen,415329,0.37885963916778564,True,0.7936516641050608
heart_failure,heart failure,positive,Dual lead pacemaker/AICD in place,326889,0.37842628359794617,True,0.7936516641050608
heart_failure,heart failure,positive,Biventricular pacemaker / AICD in place,37323,0.3781149983406067,True,0.7936516641050608
heart_failure,heart failure,positive,Stable position of a dual lead aicd/cardiac pacemaker,299201,0.37762725353240967,True,0.7936516641050608
heart_failure,heart failure,positive,Stable positioning of 2-lead cardiac pacemaker/aicd,101785,0.3775554895401001,True,0.7936516641050608
heart_failure,heart failure,positive,Left-sided permanent pacemaker and AICD device,205374,0.37709689140319824,True,0.7936516641050608
heart_failure,heart failure,positive,Stable dual lead pacemaker,3306,0.3765403926372528,True,0.7936516641050608
heart_failure,heart failure,positive,Pacemaker/AICD device with two leads,390401,0.37653258442878723,True,0.7936516641050608
heart_failure,heart failure,positive,Stable position of dual-lead cardiac pacemaker AICD,254449,0.3763427138328552,True,0.7936516641050608
heart_failure,heart failure,positive,Biventricular pacemaker/aicd as well as epicardial leads in unchanged position,193174,0.3761743903160095,True,0.7936516641050608
heart_failure,heart failure,positive,Stable left chest wall dual lead aicd/pacemaker,305213,0.3761484920978546,True,0.7936516641050608
heart_failure,heart failure,positive,Stable dual lead left aicd,266552,0.3759678304195404,True,0.7936516641050608
heart_failure,heart failure,positive,Left-sided aicd device and pacemaker,208674,0.3756985366344452,True,0.7936516641050608
heart_failure,heart failure,positive,Stable biventricular pacemaker/defibrillator,170645,0.3756463825702667,True,0.7936516641050608
heart_failure,heart failure,positive,Dual-lead aicd pacemaker in place,20230,0.3754463791847229,True,0.7936516641050608
heart_failure,heart failure,positive,Stable aicd pacemaker,62366,0.3753637373447418,True,0.7936516641050608
heart_failure,heart failure,positive,3-lead biventricular aicd/pacemaker,357885,0.37468892335891724,True,0.7936516641050608
heart_failure,heart failure,positive,Unchanged dual lead cardiac aicd,399369,0.3745201826095581,True,0.7936516641050608
heart_failure,heart failure,positive,New dual-lead cardiac pacemaker,362219,0.3744886815547943,True,0.7936516641050608
heart_failure,heart failure,positive,Permanent pacer with AICD lead,136958,0.3740997314453125,True,0.7936516641050608
heart_failure,heart failure,positive,Stable dual lead left chest wall pacer device,406421,0.3739722967147827,True,0.7936516641050608
heart_failure,heart failure,positive,Left-sided aicd and pacemaker,322079,0.3739383816719055,True,0.7936516641050608
heart_failure,heart failure,positive,Stable mild to moderate cardiomegaly with biventricular pacemaker/aicd in place,270629,0.37359631061553955,True,0.7936516641050608
heart_failure,heart failure,positive,Biventricular pacemaker/aicd in place,57825,0.37321099638938904,True,0.7936516641050608
heart_failure,heart failure,positive,Stable support devices including biventricular pacer/aicd,208240,0.3729373514652252,True,0.7936516641050608
heart_failure,heart failure,positive,Stable severe cardiomegaly with pacer in place,202342,0.37270933389663696,True,0.7936516641050608
heart_failure,heart failure,positive,Cardiac pacemaker with two leads in the left chest wall,222745,0.3725068271160126,True,0.7936516641050608
heart_failure,heart failure,positive,Cardiomegaly with permanent pacer,146598,0.37243881821632385,True,0.7936516641050608
heart_failure,heart failure,positive,3 lead aicd/pacemaker,97308,0.37239572405815125,True,0.7936516641050608
heart_failure,heart failure,positive,Stable positioning of dual lead aicd/pacemaker,202670,0.3721189796924591,True,0.7936516641050608
heart_failure,heart failure,positive,Stable dual lead pacer,23096,0.371626079082489,True,0.7936516641050608
heart_failure,heart failure,positive,Left sided permanent pacemaker and AICD device,269177,0.37160539627075195,True,0.7936516641050608
heart_failure,heart failure,positive,Stable left chest wall dual lead pacemaker/aicd,13765,0.3715822100639343,True,0.7936516641050608
heart_failure,heart failure,positive,Stable dual lead left chest wall pacer,42262,0.37111470103263855,True,0.7936516641050608
heart_failure,heart failure,positive,Dual lead permanent pacemaker and AICD device again noted,216564,0.37107163667678833,True,0.7936516641050608
heart_failure,heart failure,positive,Stable dual lead left chest wall aicd,18369,0.37097811698913574,True,0.7936516641050608
heart_failure,heart failure,positive,Stable position of the biventricular pacer/aicd,273454,0.37077853083610535,True,0.7936516641050608
heart_failure,heart failure,positive,Stable appearance of biventricular cardiac pacemaker/aicd,34871,0.3707776963710785,True,0.7936516641050608
heart_failure,heart failure,positive,"Dual-lead cardiac pacemaker/aicd in place, unchanged",367567,0.37063872814178467,True,0.7936516641050608
heart_failure,heart failure,positive,Stable dual-lead pacemaker,24939,0.370379239320755,True,0.7936516641050608
heart_failure,heart failure,positive,Stable left anterior chest wall dual lead aicd pacer,382899,0.37036311626434326,True,0.7936516641050608
heart_failure,heart failure,positive,"Dual-lead cardiac pacer/aicd in place, unchanged",109521,0.37032565474510193,True,0.7936516641050608
heart_failure,heart failure,positive,Dual lead permanent cardiac pacer,154161,0.37017160654067993,True,0.7936516641050608
heart_failure,heart failure,positive,Stable appearance of 3 lead left chest wall cardiac pacemaker/aicd,294032,0.3699612617492676,True,0.7936516641050608
